system:index,Group 0,Group 1,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,abbreviati,areaHa,country_co,country_na,cover_2000,loss,wld_rgn,.geo
00003d0809cff93c26db,2.906854670067384E10,,6823161.375,7812709.3125,1.36942389375E7,2.341121433634804E8,2.0160936243504903E8,4.208774923852941E8,6.375224947833333E8,6.532255058845588E8,4.502362708835784E8,3930919.25,,2942084.25,983734.9375,,4897420.25,3913513.125,905674.4485294117,Gui.,2.4558311682440642E7,GV,Guinea,6863355.345098037,32424.062745098152,Africa,"{""type"":""Point"",""coordinates"":[-10.921711915534384,10.441395166427176]}"
00003db7f9a94674cc7c,1.0525911311757354E9,,,,,3209913.6593137253,1941290.4375,970775.75,1941453.625,5819164.375,2912294.375,1.74433665E7,,968677.0625,4841125.625,,2906642.75,,6775088.375,Sen.,1.9700534538093854E7,SG,Senegal,954456.8156862728,1137.8470588235284,Africa,"{""type"":""Point"",""coordinates"":[-14.462355211353074,14.361624286938982]}"
00001e6ced1f52826950,9.006708987769608E7,,,,1935637.25,1935602.625,,967331.5625,,,,,,,,,,,,Gam.,1074680.9124267742,GA,"Gambia, The",100847.6823529413,98.10588235294118,Africa,"{""type"":""Point"",""coordinates"":[-15.37308694112197,13.452209324197225]}"
0000d43e3f0c2f06ffe6,3.35620280905196E9,,1947102.6875,,974337.6875,2.8873251026960783E7,1.6824324591421567E7,1.110472015367647E7,1.55522594375E7,1.4834514083578432E7,9716473.874019608,,1948824.875,1948645.5,2922588.75,974337.6875,971197.25,,3893757.625,Gui.-Bis.,3373895.146398776,PU,Guinea-Bissau,905719.5568627418,3567.054901960785,Africa,"{""type"":""Point"",""coordinates"":[-14.969070344246306,12.019949211455149]}"
0000a92f06881c2a563f,3.0007793717489956E10,984321.6875,978640.0,1.57385704375E7,1.181336475E7,1.7245819043848038E8,1.4486633399485296E8,2.6446392638161764E8,1.405235165E8,2.5491071550465685E8,1.5232896949142158E8,3937912.375,,,984362.9375,5897559.9375,6887345.4375,7862098.3125,1.3579145178186275E7,S. Leo.,7267799.38889068,SL,Sierra Leone,3421223.733333326,31740.75294117651,Africa,"{""type"":""Point"",""coordinates"":[-11.7879828640316,8.55988850862005]}"
0000229a7ef80d82d447,3.418681508888507E10,2.36874765E7,7899133.5,4.54210315E7,1.07694596125E8,1.975077908125E8,1.96951672075E8,1.521634410134804E8,8.711423009166667E7,1.1427566842328432E8,8.59531470625E7,986064.0,3950766.1875,986229.8125,988038.125,1.3827287125E7,8884059.8125,1.38207191875E7,5.062231793578431E7,Liber.,9623346.764404943,LI,Liberia,6855865.403921559,35780.199999999975,Africa,"{""type"":""Point"",""coordinates"":[-9.306959322992986,6.447526561907797]}"
00003eaee12f1482518c,6.5453795679254875E9,1951837.3125,986483.875,,3.62405255E7,3946184.3125,4914970.5625,986339.25,1.1537796422794119E7,9850170.5625,6880434.875,6870181.25,1.3664919375E7,,1.660481675E7,2933247.3125,2.15501784375E7,,4.10306438125E7,,1.1586695009022295E7,BN,Benin,1617817.8745097984,6868.329411764706,Africa,"{""type"":""Point"",""coordinates"":[2.3364808339581624,9.646695736879307]}"
000055a6b272688d8c04,2.885885335107133E10,5.42860291875E7,7.20352644375E7,3.0728750825E8,3.4840013425E8,1.8203181275E8,2.2503066125E8,1.7974680886985293E8,1.8110494864166665E8,5.133999440296568E8,3.032725737401961E8,5.12473145E7,2.35687324375E7,2.55839399375E7,4.0295261E7,2.657200725E7,1.472161304375E8,4.32551110625E7,7.85294141875E7,Nig.,9.125541037476052E7,NI,Nigeria,1.1741264027450964E7,32164.172549019622,Africa,"{""type"":""Point"",""coordinates"":[8.092940833073678,9.589014927025481]}"
0000a41db48af63acc6d,1.4848103952071579E10,1.48749705625E7,1.32621221875E8,1.8834458375E7,6.9313649375E7,7.03221733125E7,1.020669796875E8,9.71224173125E7,7.259765188406864E7,1.4939581240367648E8,7.93225514375E7,1.88203535625E7,1.1892107625E7,9897542.375,1.58494328125E7,2.5446025101715684E7,3.65609574375E7,2.96722535625E7,9887755.6875,Camer.,4.669884795021847E7,CM,Cameroon,2.557446085490195E7,15969.09411764707,Africa,"{""type"":""Point"",""coordinates"":[12.73835345442379,5.683679386840692]}"
00001698ff5be090511e,1.7641125960112748E9,,1.29051058125E7,1985597.25,992806.0625,5957189.9375,1.4893765125E7,1985955.9375,2978746.25,,,,,,,,2978505.8125,3971649.75,1985846.625,Equa. Gui.,2696088.1003858857,EK,Equatorial Guinea,2348712.847058805,1827.9137254901964,Africa,"{""type"":""Point"",""coordinates"":[10.334914420749337,1.7056515214236192]}"
00005d76897979c774a6,0.0,,,,,,,,,,,,,,,,,,,S. To. & Prin.,99437.67266182094,TP,Sao Tome & Principe,11206.905882352936,0.0,Africa,"{""type"":""Point"",""coordinates"":[6.713126393213984,0.4325487261365874]}"
0000b847f521a649f6c8,4.595932452389215E9,993209.5,,5958238.125,2.78089508125E7,1.151786514375E8,4.66712754375E7,7.74409330625E7,7.14826033125E7,7.94418259375E7,1.78787645E7,1985811.125,1986187.6875,1986506.375,2979756.9375,992427.0625,992863.3125,,1985553.75,,2.6401848292494893E7,GB,Gabon,2.234883896078433E7,5087.439215686273,Africa,"{""type"":""Point"",""coordinates"":[11.789453710175666,-0.6059732864426437]}"
0000fe33c4d4431bb362,1.022644742543505E10,4962569.4375,4.2805725104901955E7,3.07423830625E7,1.38947845E7,3.2733166625E7,1.7864641625E7,1.38957605E7,3.4831529607965684E8,2.1822618E7,4.0682807E7,5944459.4375,2.3796189125E7,3969291.25,3965526.25,1.3898137875E7,1.38867286875E7,4950412.125,4950952.25,Rep. of the Congo,3.442368483357311E7,CF,Rep of the Congo,2.4741873486274537E7,10956.654901960788,Africa,"{""type"":""Point"",""coordinates"":[15.222762657318306,-0.8396682238661807]}"
0000879194072ebc7717,1.0297933585067648E10,7928459.5625,2.77136361875E7,1.48345254375E7,2.6707652125E7,1970207.875,7885567.4375,3956408.1875,4.5581832375E7,1.58215596875E7,6246005.420833333,1.18491074375E7,2967794.625,7865078.5,1.38296369375E7,2.370017225E7,3.95456274375E7,3960259.5,1.87605866875E7,Cen. Afr. Rep.,6.227623335587036E7,CT,Central African Rep,3.0473797262745135E7,10706.694117647061,Africa,"{""type"":""Point"",""coordinates"":[20.478226487225268,6.581725115383213]}"
00002718fe72cd5c3db1,2.4289073582885855E11,3.172652206875E8,5.825267902397059E8,2.308428610625E8,6.319699525622549E8,6.418228626781863E8,7.5548307825E8,4.883988606875E8,9.283750685625E8,7.14517168E8,5.376493363125E8,2.9099947775E8,1.0438373928480393E8,3.413060732296569E8,3.332388845492647E8,4.199090220625E8,3.345155260122549E8,2.3580484984338236E8,5.252150234519608E8,Dem. Rep. of the Congo,2.339447911461667E8,CG,Dem Rep of the Congo,1.662699219019608E8,253706.95294117637,Africa,"{""type"":""Point"",""coordinates"":[23.65041348986931,-2.863930165844582]}"
0000f02aaa8956160f19,1.1285757080428677E10,980127.3125,,984321.6875,2.848157225E7,3.4383904125E7,2.7506994625E7,2.84936234375E7,2.84985101875E7,5.30659275625E7,2.71995756125E7,5891144.5,,2948190.0,,3.8266301875E7,1958616.625,8.13942845625E7,7846178.125,,1.2751344119224417E8,CD,Chad,2983760.905882343,11866.372549019612,Africa,"{""type"":""Point"",""coordinates"":[18.65773420775793,15.317017124351478]}"
000033855b0f8b7954f6,0.0,,,,,,,,,,,,,,,,,,,,1.1843975532526812E8,NG,Niger,27494.207843137305,0.0,Africa,"{""type"":""Point"",""coordinates"":[9.352594204618704,17.409571377002088]}"
00003aba8600c2d0c181,1.431237608014706E7,,,,,,,,,,,,,,,,,,,,1.8351143084149906E8,SU,Sudan,1145637.5607843117,14.670588235294117,Africa,"{""type"":""Point"",""coordinates"":[29.965582895838104,16.047156334421835]}"
0000100836b6cf2d3b9d,9213490.0,,,,,,,,,,,,,,,,,,,,1.6174814704358864E8,LY,Libya,9204.447058823529,11.0,Africa,"{""type"":""Point"",""coordinates"":[18.086529684895723,27.030062589458616]}"
0000bfb3a8dab545fe38,0.0,,,,,,,,,,,,,,,,,,,,779.7876396539147,UU,Koualou Area,36.45882352941175,0.0,Africa,"{""type"":""Point"",""coordinates"":[0.9443445971447244,11.008146708440604]}"
00002c521225900503e4,3.9698033890416664E8,,798514.25,5574618.5,3181623.5,1.19195023125E7,7189983.875,8846247.125,4914579.114705883,8.130395126691176E7,1603996.5625,,3211134.1875,,,,1607392.125,802463.75,1597296.1875,Tun.,1.5532265737744318E7,TS,Tunisia,224665.3725490195,661.5960784313725,Africa,"{""type"":""Point"",""coordinates"":[9.580462324300507,34.077189040882544]}"
0000c55516d969a27de5,0.0,,,,,,,,,,,,,,,,,,,And.,46399.573305705475,AN,Andorra,21628.098039215693,0.0,Europe,"{""type"":""Point"",""coordinates"":[1.5762254796910824,42.54546436763521]}"
000038eff4f8ffa2ab33,3.1030565105355387E9,,2254035.9375,4515690.375,1.260084075E7,1.77467099375E7,1.5680854375E7,1.05385701875E7,1.89153896752451E7,6.9754227375E7,3.48166360870098E7,4256513.875,722482.75,3714635.125,8600992.625,782924.5625,7315911.742647059,1.8464200651470587E7,5893491.888970588,,2.9988466786858864E7,IT,Italy,1.0687528325490229E7,4479.55294117647,Europe,"{""type"":""Point"",""coordinates"":[12.208432141590917,42.7086562394852]}"
00009bd87d87aefbc792,0.0,,,,,,,,,,,,,,,,,,,Mon.,209.45315776076723,MN,Monaco,1.6235294117647059,0.0,Europe,"{""type"":""Point"",""coordinates"":[7.423199199257038,43.73666573652869]}"
0000a8b7ca92032e9296,0.0,,,,,,,,,,,,,,,,,,,,32307.867225788486,MT,Malta,123.56862745098046,0.0,Europe,"{""type"":""Point"",""coordinates"":[14.399355433243937,35.92383394187867]}"
00001c16e75c6b7ced28,0.0,,,,,,,,,,,,,,,,,,,S. Mar.,6112.267003740096,SM,San Marino,811.5686274509807,0.0,Europe,"{""type"":""Point"",""coordinates"":[12.463338050550368,43.93838296036058]}"
000064a9808fde80ab99,0.0,,,,,,,,,,,,,,,,,,,Vat. C.,52.27166356781738,VT,Vatican City,2.098039215686274,0.0,Europe,"{""type"":""Point"",""coordinates"":[12.452925360301228,41.903443470238166]}"
0000a9dd2e5f3c4318a0,1.0649590955343136E9,2130226.8125,2803358.5,5669108.8125,9744569.758088235,7034954.490441176,2116363.125,9167764.281862745,1.0374173893382354E7,1.3466682186764706E7,1.41096859375E7,703404.75,2804787.5,1.080601404509804E7,2096391.5,2340873.0046568625,4909465.899509804,8485339.125,3589993.0,Cro.,5614392.550558117,HR,Croatia,2993616.482352977,1665.9215686274515,Europe,"{""type"":""Point"",""coordinates"":[16.40657806599226,45.037751620183705]}"
000024c00894ca6c21c7,5.820371674186274E8,762433.25,,310203.96397058823,3722330.25,1494458.5,,,1517370.0,3756487.6794117647,2252489.0,1513024.6875,749631.4375,749529.4375,740997.3125,,1.28042870625E7,1.66836040625E7,,Alb.,2863768.2696751384,AL,Albania,711174.9999999997,837.6941176470584,Europe,"{""type"":""Point"",""coordinates"":[20.06827787303183,41.13154580140931]}"
0000ce51ab05b36aea43,2.6821943064509803E8,1428839.5,,,731706.0625,3076369.1208333336,404677.4875,,,709862.1875,729492.4375,,,,,,5933534.225490196,728858.4375,724828.125,Bos. & Her.,5112172.517687795,BK,Bosnia & Herzegovina,3216054.4039215688,391.6666666666667,Europe,"{""type"":""Point"",""coordinates"":[17.79202719620352,44.16546287267388]}"
000076c108d0bd043e13,1.8690037486299014E8,,,,728541.25,8789585.25,,,734121.1875,8857704.6875,2215413.75,,,,,,,1367329.4227941176,,Mont.,1388774.6068616533,MJ,Montenegro,723053.0078431367,285.4235294117646,Europe,"{""type"":""Point"",""coordinates"":[19.251554310873527,42.78577416738451]}"
0000592d0681d739e42e,5.059457843497549E8,718515.1237745098,2134145.4375,2121053.25,2891169.75,6245399.379166666,1022237.4125,1433506.75,704832.875,7154564.313235294,2840776.8125,,,706914.8125,711167.9375,1406699.5,4300619.125,3577484.25,2122493.375,Ser.,7730134.836267658,RI,Serbia,3141927.1019607806,767.4941176470586,Europe,"{""type"":""Point"",""coordinates"":[20.811721873637644,44.21987094357257]}"
000098da7abeaa7df08e,2.50133721003946E9,4.71121230625E7,3.3205448471323527E7,6730507.784558823,7.256898450514707E7,3.6973985375E7,4591861.0625,1.2716265E7,3.2654535932843138E7,7.457778690784314E7,2.75675641875E7,1539836.75,,8795283.3125,5472984.6875,2.2242549419362746E7,2.651447323485294E8,1.151036188125E8,1.2563155893137254E7,Gr.,1.3177367373400887E7,GR,Greece,3914786.1333334385,4192.098039215689,Europe,"{""type"":""Point"",""coordinates"":[22.992355729256484,39.02060896493173]}"
0000406ac62d6af0d65b,5.689982307112745E8,,4496444.4375,3961132.7279411764,3748651.8125,,2248585.75,,751769.3125,2248685.0625,2248250.875,745330.875,,2244691.3125,2246911.5,3747943.625,1.27232894375E7,7482027.875,1.1963501875E7,Mace.,2540695.0552100763,MK,Macedonia,899986.3764705888,841.8352941176472,Europe,"{""type"":""Point"",""coordinates"":[21.699413533853257,41.60019025903548]}"
0000b4a338aec7f12ef2,5.994585211446077E7,721056.2512254901,,1266468.1544117648,741721.875,1467088.6875,,,741618.375,,,,,,,,,,,Kos.,1088499.368841636,KV,Kosovo,407749.5215686272,88.14509803921571,Europe,"{""type"":""Point"",""coordinates"":[20.889411432780133,42.58077111456967]}"
0000461fe723e34913ce,1.27715688332402E9,1.03611483125E7,,,8801481.0625,2202487.25,731074.4375,746255.1875,2201153.125,5935047.25,5967569.4375,7396435.6875,1491378.5625,4406821.75,2217352.0625,742135.4375,1.02647255E7,5901717.0,736735.25,Bulg.,1.107631680786965E7,BU,Bulgaria,4766470.670588233,1831.3019607843132,Europe,"{""type"":""Point"",""coordinates"":[25.228135309393206,42.76017973319246]}"
000021a219c76f6387c1,3416117.5625,,,,,,,,,,,,,,,,,,,,9.835319015635611E7,EG,Egypt,362179.0980392157,4.0,Africa,"{""type"":""Point"",""coordinates"":[29.782993944336763,26.538561371461295]}"
0000828fc25e156713dc,0.0,,,,,,,,,,,,,,,,,,,,201445.32540306533,EG,Bir Tawil,0.0,0.0,Africa,"{""type"":""Point"",""coordinates"":[33.67874925774028,21.88653946591658]}"
00009ffe047a8f42c5ae,0.0,,,,,,,,,,,,,,,,,,,,1802261.759755756,SU,Halaib Triangle,0.0,0.0,Africa,"{""type"":""Point"",""coordinates"":[35.505776234032794,22.36330252242992]}"
0000da21c9c782cfffbc,0.0,,,,,,,,,,,,,,,,,,,,8635.88059601568,UU,Sinafir & Tiran Is.,0.0,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[34.59480859982401,27.947564289326476]}"
0000fd3a408c1e0a80b7,7.38327337348603E9,5.34934874375E7,2.87166000625E7,4.13816899375E7,7.919771823872548E7,6.903226370612745E7,5.445915688088235E7,7.143046184509803E7,6.8294046125E7,1.12998287625E8,8.33058706875E7,6.82377765625E7,5.386008852107843E7,5.974505125E7,5.1073996E7,7.55552215625E7,6.629906848382353E7,1.4854781238308823E8,1.0768000178112745E8,Turk.,7.798333208856888E7,TU,Turkey,1.077200038431381E7,11149.352941176474,SW Asia,"{""type"":""Point"",""coordinates"":[35.175148273196676,39.13496301964699]}"
00003cf3472a0526eb35,4.17147545E7,,,,,,,,4903297.3125,1634373.875,,,,,,,1.06394425E7,,,Cyp.,905908.402333662,CY,Cyprus,99267.47450980391,72.0,SW Asia,"{""type"":""Point"",""coordinates"":[33.22288844515967,35.05782398799351]}"
0000376b78cf662e3d1c,0.0,,,,,,,,,,,,,,,,,,,,13056.495111391243,DX,Dhekelia,54.329411764705895,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[33.79016016130588,35.018549247061706]}"
00004e1c47c45042d02d,0.0,,,,,,,,,,,,,,,,,,,,12733.004424469425,AX,Akrotiri,481.0470588235293,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[32.9233060597653,34.63767862427857]}"
000062f45d99a6f95948,0.0,,,,,,,,,,,,,,,,,,,Gaz. Str.,36739.7381879969,GZ,Gaza Strip,45.227450980392156,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[34.3764755225184,31.406382504042107]}"
00004cf69de465481f06,2.76979725E7,,847988.0625,1.17454300625E7,,,,,,,,,,,,,,,,Is.,2075897.0688770288,IS,Israel,27099.39215686277,48.0,SW Asia,"{""type"":""Point"",""coordinates"":[34.963434670929544,31.346668156121936]}"
000041eca29851ef4ccf,0.0,,,,,,,,,,,,,,,,,,,Jor.,8919379.232070463,JO,Jordan,2372.650980392157,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[36.774136511507486,31.242491239271626]}"
00007ccc2a77c5457fe0,0.0,,,,,,,,,,,,,,,,,,,Sau. Ar.,1.9287985312868914E8,SA,Saudi Arabia,1063.9803921568625,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[44.67543648797115,24.08724320104629]}"
0000ed88b83b16c73912,0.0,,,,,,,,,,,,,,,,,,,W. Bank,581255.8226728039,WE,West Bank,602.6196078431367,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.25707605225401,31.941635091293115]}"
0000dabaa2c6315afd3f,0.0,,,,,,,,,,,,,,,,,,,,5241.510920525324,NM,No Man's Land,96.61176470588238,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.02671243064699,31.856663718539057]}"
0000f07367f9e689c37b,0.0,,,,,,,,,,,,,,,,,,,W. Bank,13.549842781642946,WE,West Bank,0.0,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.24937653568325,31.7862901537821]}"
000010d3347361026b4d,0.0,,,,,,,,,,,,,,,,,,,,4.372054107113984E7,IZ,Iraq,19904.443137254915,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[43.79604060163487,33.01997326244656]}"
0000e30da06e9e3b9243,3.239870786607843E8,812398.8125,808904.125,,1.5324309044607844E7,3231885.5,808544.0,1.623955E7,8957496.0,8124437.5,809623.5,,,,4045240.4375,4057783.8125,1.3398301996078432E7,1618527.9375,,Syr.,1.8613832208654355E7,SY,Syria,107000.54901960782,496.12549019607843,SW Asia,"{""type"":""Point"",""coordinates"":[38.497734713507356,35.02546822556287]}"
00003f97d0ea41289b1f,3.546603514779412E7,,,,,821219.125,,,,,,,,,,,,,,Leb.,1022704.4874654076,LE,Lebanon,60342.52941176476,43.95294117647059,SW Asia,"{""type"":""Point"",""coordinates"":[35.89151259809467,33.91996598896502]}"
000046806aa60016e019,0.0,,,,,,,,,,,,,,,,,,,Syr.,23234.201403677693,SY,Syria,29.10196078431372,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.850301004545685,33.16205430717101]}"
0000de1279cf0253cb46,0.0,,,,,,,,,,,,,,,,,,,Syr.,114762.9815846171,SY,Syria,1904.635294117647,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.7412169857642,33.00979768952882]}"
00003400b7b0bf9117b3,0.0,,,,,,,,,,,,,,,,,,,Is.,1275.322456147796,IS,Israel,2.9019607843137254,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.64736597662013,32.8022966444048]}"
00009b8112ddec72a35d,0.0,,,,,,,,,,,,,,,,,,,Syr.,5197.049960365121,SY,Syria,36.43921568627451,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.62907431904198,32.904021153351636]}"
0000c25357624aea40f8,0.0,,,,,,,,,,,,,,,,,,,Syr.,179.60000366430805,SY,Syria,0.9529411764705882,0.0,SW Asia,"{""type"":""Point"",""coordinates"":[35.81229606380684,33.12378122472522]}"
